Lab,Method,Subject,Subject_Unique,Language,Age,Session,total_trial_n,language_recoded,Native,ADS,IDS,Diff,Prop,binary_pref
babylab-potsdam,HPP,b7171,babylab-potsdam:b7171,German,212,2,14,German,FALSE,1.4853427542006539,1.8203311932999147,0.3349884390992608,0.5506687054469704,IDS_preference
babylab-potsdam,HPP,b7172,babylab-potsdam:b7172,German,194,1,16,German,FALSE,2.0633427955345254,2.1688216501171866,0.10547885458266126,0.512461573260821,IDS_preference
babylab-potsdam,HPP,b7172,babylab-potsdam:b7172,German,205,2,13,German,FALSE,1.8119036713448071,1.352501392260174,-0.45940227908463305,0.42741095563769754,ADS_preference
babylab-potsdam,HPP,b7181,babylab-potsdam:b7181,German,251,1,10,German,FALSE,1.3165742035553685,1.2546197910859245,-0.061954412469444,0.48795220963518016,ADS_preference
babylab-potsdam,HPP,b7181,babylab-potsdam:b7181,German,258,2,14,German,FALSE,1.4905841060585914,1.3828632847968567,-0.10772082126173466,0.48125582156044533,ADS_preference
babylab-potsdam,HPP,b7184,babylab-potsdam:b7184,German,226,1,16,German,FALSE,1.2214162679978782,1.4734982851311227,0.2520820171332445,0.5467699461640737,IDS_preference
babylab-potsdam,HPP,b7184,babylab-potsdam:b7184,German,261,2,15,German,FALSE,1.462098876016743,1.2444664896648985,-0.21763238635184456,0.45979546825076684,ADS_preference
babylab-potsdam,HPP,b7185,babylab-potsdam:b7185,German,213,1,15,German,FALSE,1.630386960578953,1.6858419412563814,0.05545498067742849,0.5083611509215691,IDS_preference
babylab-potsdam,HPP,b7185,babylab-potsdam:b7185,German,220,2,12,German,FALSE,1.5881198697293952,1.658960039345793,0.07084016961639783,0.5109082886162438,IDS_preference
babyling-oslo,Eyetracking,OS_003,babyling-oslo:OS_003,Norwegian,257,1,6,Norwegian,FALSE,1.0866935085386282,1.3526183477094944,0.2659248391708662,0.5545081676395166,IDS_preference
babyling-oslo,Eyetracking,OS_003,babyling-oslo:OS_003,Norwegian,279,2,8,Norwegian,FALSE,1.2389586886324457,1.2484842994248733,0.00952561079242753,0.5019147395213,IDS_preference
babyling-oslo,Eyetracking,OS_009,babyling-oslo:OS_009,Norwegian,260,1,10,Norwegian,FALSE,1.6621342768826461,1.6442522639759243,-0.017882012906721867,0.49729583751238016,ADS_preference
babyling-oslo,Eyetracking,OS_009,babyling-oslo:OS_009,Norwegian,281,2,11,Norwegian,FALSE,1.4289241579208014,1.5269780026324995,0.09805384471169809,0.516586111343642,IDS_preference
babyling-oslo,Eyetracking,OS_018,babyling-oslo:OS_018,Norwegian,243,1,15,Norwegian,FALSE,1.9332518825457636,2.113829469908099,0.18057758736233542,0.5223096068050184,IDS_preference
babyling-oslo,Eyetracking,OS_018,babyling-oslo:OS_018,Norwegian,255,2,5,Norwegian,FALSE,1.05677073683842,1.4122682193914926,0.35549748255307256,0.5719910639028349,IDS_preference
babyling-oslo,Eyetracking,OS_026,babyling-oslo:OS_026,Norwegian,268,1,7,Norwegian,FALSE,1.0563500943374877,1.1405475133866414,0.08419741904915368,0.5191628000215217,IDS_preference
babyling-oslo,Eyetracking,OS_026,babyling-oslo:OS_026,Norwegian,282,2,16,Norwegian,FALSE,1.4039536000738075,1.4472677012884656,0.04331410121465806,0.5075957101600572,IDS_preference
babyling-oslo,Eyetracking,OS_031,babyling-oslo:OS_031,Norwegian,249,1,14,Norwegian,FALSE,1.3662515021161015,1.6139708222687534,0.24771932015265197,0.5415605436758453,IDS_preference
babyling-oslo,Eyetracking,OS_031,babyling-oslo:OS_031,Norwegian,253,2,10,Norwegian,FALSE,1.482132978268642,1.4194305821288633,-0.0627023961397788,0.489195067618786,ADS_preference
babyling-oslo,Eyetracking,OS_032,babyling-oslo:OS_032,Norwegian,245,1,15,Norwegian,FALSE,1.8857477855777882,1.677683843067611,-0.20806394251017712,0.47080567775769694,ADS_preference
babyling-oslo,Eyetracking,OS_032,babyling-oslo:OS_032,Norwegian,256,2,14,Norwegian,FALSE,1.469790532297361,1.644492587367847,0.17470205507048608,0.5280485184483271,IDS_preference
babyling-oslo,Eyetracking,OS_042,babyling-oslo:OS_042,Norwegian,184,1,11,Norwegian,FALSE,1.7596534169850422,1.5741824528306723,-0.18547096415436992,0.4721835490112742,ADS_preference
