Lab,Method,Subject,Subject_Unique,Language,Age,Session,total_trial_n,language_recoded,Native,ADS,IDS,mean_log_lt_ADS,mean_log_lt_IDS,Diff,Prop,binary_pref,Diff_log_lt,Prop_log_lt
babylab-potsdam,HPP,b7027,babylab-potsdam:b7027,German,251,1,14,German,FALSE,8.882714285714286,7.712285714285715,2.0301167299780323,1.7694492305930332,-1.1704285714285714,0.4647355055309259,ADS_preference,-0.2606674993849991,0.4656977267811635
babylab-potsdam,HPP,b7027,babylab-potsdam:b7027,German,260,2,13,German,FALSE,6.345,9.311285714285715,1.6029670062444594,2.127938677211023,2.966285714285715,0.5947314634012811,IDS_preference,0.5249716709665637,0.5703544548572381
babylab-potsdam,HPP,b7033,babylab-potsdam:b7033,German,218,1,16,German,FALSE,6.153625,8.775125,1.7261817691748778,2.1442669477395024,2.6214999999999993,0.5878003851628569,IDS_preference,0.4180851785646247,0.5540099106258063
babylab-potsdam,HPP,b7033,babylab-potsdam:b7033,German,239,2,16,German,FALSE,3.593875,3.552625,1.2488995113807673,1.2405228629476872,-0.04125000000000023,0.4971139718743441,ADS_preference,-0.008376648433080058,0.4983175517904349
babylab-potsdam,HPP,b7096,babylab-potsdam:b7096,German,216,1,15,German,FALSE,4.984714285714285,7.8895,1.5319373406049281,1.858101431531208,2.9047857142857145,0.6128140968380873,IDS_preference,0.32616409092627996,0.5481062478705453
babylab-potsdam,HPP,b7096,babylab-potsdam:b7096,German,223,2,14,German,FALSE,6.647571428571428,5.442142857142857,1.686149878440336,1.4807631603942195,-1.2054285714285715,0.45014652360920737,ADS_preference,-0.2053867180461164,0.46757304107698205
babylab-potsdam,HPP,b7105,babylab-potsdam:b7105,German,197,1,16,German,FALSE,11.067875,10.837375,2.298322770212539,2.2362103963616518,-0.23050000000000104,0.4947387041919174,ADS_preference,-0.06211237385088708,0.49315118320131146
babylab-potsdam,HPP,b7105,babylab-potsdam:b7105,German,204,2,14,German,FALSE,7.6852857142857145,5.659,1.8021121974716847,1.6152072406787312,-2.0262857142857147,0.42407665132212824,ADS_preference,-0.1869049567929535,0.4726532798329626
babylab-potsdam,HPP,b7135,babylab-potsdam:b7135,German,257,1,16,German,FALSE,9.616125,11.575000000000001,2.1548532262393443,2.3254487385336966,1.9588750000000008,0.5462192309280419,IDS_preference,0.17059551229435233,0.5190383944693552
babylab-potsdam,HPP,b7135,babylab-potsdam:b7135,German,266,2,15,German,FALSE,5.801857142857143,4.531750000000001,1.5882686722177908,1.3900365494615197,-1.2701071428571424,0.4385448311853488,ADS_preference,-0.1982321227562711,0.46672065016820236
