Lab,Method,Subject,Subject_Unique,Language,Condition,Age,Session,total_trial_n,mean_log_lt,mean_lt,ConditionC,language_recoded,Native
babylab-potsdam,HPP,b7147,babylab-potsdam:b7147,German,ADS,217,2,16,1.8826883280743498,8.4225,-0.5,German,FALSE
babylab-potsdam,HPP,b7147,babylab-potsdam:b7147,German,IDS,210,1,16,1.9267695522482422,7.93075,0.5,German,FALSE
babylab-potsdam,HPP,b7147,babylab-potsdam:b7147,German,IDS,217,2,16,1.9372328309726161,8.92025,0.5,German,FALSE
babylab-potsdam,HPP,b7149,babylab-potsdam:b7149,German,ADS,231,1,16,2.054857682824592,8.757125,-0.5,German,FALSE
babylab-potsdam,HPP,b7149,babylab-potsdam:b7149,German,ADS,242,2,15,1.2638797379748643,4.03475,-0.5,German,FALSE
babylab-potsdam,HPP,b7149,babylab-potsdam:b7149,German,IDS,231,1,16,2.1464329863128824,9.138874999999999,0.5,German,FALSE
babylab-potsdam,HPP,b7149,babylab-potsdam:b7149,German,IDS,242,2,15,1.523775949550581,5.431285714285714,0.5,German,FALSE
babylab-potsdam,HPP,b7151,babylab-potsdam:b7151,German,ADS,232,1,16,1.5478491332478441,5.98,-0.5,German,FALSE
babylab-potsdam,HPP,b7151,babylab-potsdam:b7151,German,ADS,241,2,14,1.8196630424679985,7.027666666666667,-0.5,German,FALSE
babylab-potsdam,HPP,b7151,babylab-potsdam:b7151,German,IDS,232,1,16,2.145789126316932,9.882875,0.5,German,FALSE
babylab-potsdam,HPP,b7151,babylab-potsdam:b7151,German,IDS,241,2,14,2.018075630779993,8.866375,0.5,German,FALSE
babylab-potsdam,HPP,b7155,babylab-potsdam:b7155,German,ADS,207,1,16,2.3174078345520264,12.021125,-0.5,German,FALSE
babylab-potsdam,HPP,b7155,babylab-potsdam:b7155,German,ADS,217,2,16,2.584634239694747,14.051124999999999,-0.5,German,FALSE
babylab-potsdam,HPP,b7155,babylab-potsdam:b7155,German,IDS,207,1,16,2.392977857538122,11.919375,0.5,German,FALSE
babylab-potsdam,HPP,b7155,babylab-potsdam:b7155,German,IDS,217,2,16,2.362337111903631,11.490625,0.5,German,FALSE
babylab-potsdam,HPP,b7161,babylab-potsdam:b7161,German,ADS,209,1,13,1.8790071797209187,7.367333333333334,-0.5,German,FALSE
babylab-potsdam,HPP,b7161,babylab-potsdam:b7161,German,ADS,222,2,14,1.676720294090227,5.775666666666667,-0.5,German,FALSE
