Subject,Subject_Unique,Age,Gender,Method,preterm,Session,Condition,stimulus,trial_num,LT,trial_error,session_error,session_error_type,Language,Lab,days_between_sessions
b7030,babylab-potsdam:b7030,200,F,HPP,term,1,ADS,ADS7,3,11.291,noerror,noerror,NA,German,babylab-potsdam,7
b7030,babylab-potsdam:b7030,200,F,HPP,term,1,IDS,IDS7,4,5.66,noerror,noerror,NA,German,babylab-potsdam,7
b7030,babylab-potsdam:b7030,200,F,HPP,term,1,ADS,ADS1,5,15.028,noerror,noerror,NA,German,babylab-potsdam,7
b7030,babylab-potsdam:b7030,200,F,HPP,term,1,IDS,IDS1,6,3.367,noerror,noerror,NA,German,babylab-potsdam,7
b7030,babylab-potsdam:b7030,200,F,HPP,term,1,ADS,ADS3,7,8.704,noerror,noerror,NA,German,babylab-potsdam,7
b7030,babylab-potsdam:b7030,200,F,HPP,term,1,IDS,IDS3,8,4.05,noerror,noerror,NA,German,babylab-potsdam,7
b7030,babylab-potsdam:b7030,200,F,HPP,term,1,ADS,ADS2,9,4.716,noerror,noerror,NA,German,babylab-potsdam,7
b7030,babylab-potsdam:b7030,200,F,HPP,term,1,IDS,IDS2,10,10.309,noerror,noerror,NA,German,babylab-potsdam,7
b7030,babylab-potsdam:b7030,200,F,HPP,term,1,IDS,IDS4,11,2.752,noerror,noerror,NA,German,babylab-potsdam,7
b7030,babylab-potsdam:b7030,200,F,HPP,term,1,ADS,ADS4,12,1.648,noerror,noerror,NA,German,babylab-potsdam,7
b7030,babylab-potsdam:b7030,200,F,HPP,term,1,IDS,IDS6,13,3.381,noerror,noerror,NA,German,babylab-potsdam,7
b7030,babylab-potsdam:b7030,200,F,HPP,term,1,ADS,ADS6,14,4.965,noerror,noerror,NA,German,babylab-potsdam,7
b7030,babylab-potsdam:b7030,200,F,HPP,term,1,IDS,IDS8,15,2.363,noerror,noerror,NA,German,babylab-potsdam,7
b7030,babylab-potsdam:b7030,200,F,HPP,term,1,ADS,ADS8,16,1.551,noerror,noerror,NA,German,babylab-potsdam,7
b7030,babylab-potsdam:b7030,207,F,HPP,term,2,training,train1,-2,6.698,noerror,noerror,NA,German,babylab-potsdam,7
b7030,babylab-potsdam:b7030,207,F,HPP,term,2,training,train2,-1,16.276,noerror,noerror,NA,German,babylab-potsdam,7
b7030,babylab-potsdam:b7030,207,F,HPP,term,2,IDS,IDS5,1,16.256,noerror,noerror,NA,German,babylab-potsdam,7
b7030,babylab-potsdam:b7030,207,F,HPP,term,2,ADS,ADS5,2,13.201,noerror,noerror,NA,German,babylab-potsdam,7
b7030,babylab-potsdam:b7030,207,F,HPP,term,2,ADS,ADS7,3,6.737,noerror,noerror,NA,German,babylab-potsdam,7
b7030,babylab-potsdam:b7030,207,F,HPP,term,2,IDS,IDS7,4,7.478,noerror,noerror,NA,German,babylab-potsdam,7
b7030,babylab-potsdam:b7030,207,F,HPP,term,2,ADS,ADS1,5,3.968,noerror,noerror,NA,German,babylab-potsdam,7
b7030,babylab-potsdam:b7030,207,F,HPP,term,2,IDS,IDS1,6,3.984,noerror,noerror,NA,German,babylab-potsdam,7
b7030,babylab-potsdam:b7030,207,F,HPP,term,2,ADS,ADS3,7,2.598,noerror,noerror,NA,German,babylab-potsdam,7
b7030,babylab-potsdam:b7030,207,F,HPP,term,2,IDS,IDS3,8,1.79,noerror,noerror,NA,German,babylab-potsdam,7
b7030,babylab-potsdam:b7030,207,F,HPP,term,2,ADS,ADS2,9,1.807,noerror,noerror,NA,German,babylab-potsdam,7
b7030,babylab-potsdam:b7030,207,F,HPP,term,2,IDS,IDS2,10,1.637,noerror,noerror,NA,German,babylab-potsdam,7
b7030,babylab-potsdam:b7030,207,F,HPP,term,2,IDS,IDS4,11,9.667,noerror,noerror,NA,German,babylab-potsdam,7
b7030,babylab-potsdam:b7030,207,F,HPP,term,2,ADS,ADS4,12,3.161,noerror,noerror,NA,German,babylab-potsdam,7
b7030,babylab-potsdam:b7030,207,F,HPP,term,2,IDS,IDS6,13,4.969,noerror,noerror,NA,German,babylab-potsdam,7
b7030,babylab-potsdam:b7030,207,F,HPP,term,2,ADS,ADS6,14,1.451,noerror,noerror,NA,German,babylab-potsdam,7
b7030,babylab-potsdam:b7030,207,F,HPP,term,2,IDS,IDS8,15,1.393,noerror,noerror,NA,German,babylab-potsdam,7
b7030,babylab-potsdam:b7030,207,F,HPP,term,2,ADS,ADS8,16,1.431,noerror,noerror,NA,German,babylab-potsdam,7
b7033,babylab-potsdam:b7033,218,F,HPP,term,1,training,train2,-2,10.56,noerror,noerror,NA,German,babylab-potsdam,21
b7033,babylab-potsdam:b7033,218,F,HPP,term,1,training,train1,-1,15.819,noerror,noerror,NA,German,babylab-potsdam,21
b7033,babylab-potsdam:b7033,218,F,HPP,term,1,ADS,ADS1,1,14.371,noerror,noerror,NA,German,babylab-potsdam,21
b7033,babylab-potsdam:b7033,218,F,HPP,term,1,IDS,IDS1,2,13.835,noerror,noerror,NA,German,babylab-potsdam,21
b7033,babylab-potsdam:b7033,218,F,HPP,term,1,ADS,ADS2,3,6.163,noerror,noerror,NA,German,babylab-potsdam,21
b7033,babylab-potsdam:b7033,218,F,HPP,term,1,IDS,IDS2,4,6.851,noerror,noerror,NA,German,babylab-potsdam,21
b7033,babylab-potsdam:b7033,218,F,HPP,term,1,IDS,IDS3,5,9.118,noerror,noerror,NA,German,babylab-potsdam,21
b7033,babylab-potsdam:b7033,218,F,HPP,term,1,ADS,ADS3,6,3.765,noerror,noerror,NA,German,babylab-potsdam,21
b7033,babylab-potsdam:b7033,218,F,HPP,term,1,ADS,ADS4,7,5.231,noerror,noerror,NA,German,babylab-potsdam,21
b7033,babylab-potsdam:b7033,218,F,HPP,term,1,IDS,IDS4,8,10.349,noerror,noerror,NA,German,babylab-potsdam,21
b7033,babylab-potsdam:b7033,218,F,HPP,term,1,IDS,IDS5,9,7.259,noerror,noerror,NA,German,babylab-potsdam,21
b7033,babylab-potsdam:b7033,218,F,HPP,term,1,ADS,ADS5,10,5.321,noerror,noerror,NA,German,babylab-potsdam,21
b7033,babylab-potsdam:b7033,218,F,HPP,term,1,IDS,IDS6,11,8.399,noerror,noerror,NA,German,babylab-potsdam,21
b7033,babylab-potsdam:b7033,218,F,HPP,term,1,ADS,ADS6,12,4.226,noerror,noerror,NA,German,babylab-potsdam,21
b7033,babylab-potsdam:b7033,218,F,HPP,term,1,ADS,ADS7,13,5.728,noerror,noerror,NA,German,babylab-potsdam,21
b7033,babylab-potsdam:b7033,218,F,HPP,term,1,IDS,IDS7,14,6.896,noerror,noerror,NA,German,babylab-potsdam,21
b7033,babylab-potsdam:b7033,218,F,HPP,term,1,IDS,IDS8,15,7.494,noerror,noerror,NA,German,babylab-potsdam,21
b7033,babylab-potsdam:b7033,218,F,HPP,term,1,ADS,ADS8,16,4.424,noerror,noerror,NA,German,babylab-potsdam,21
b7033,babylab-potsdam:b7033,239,F,HPP,term,2,training,train2,-2,13.884,noerror,noerror,NA,German,babylab-potsdam,21
b7033,babylab-potsdam:b7033,239,F,HPP,term,2,training,train1,-1,3.857,noerror,noerror,NA,German,babylab-potsdam,21
b7033,babylab-potsdam:b7033,239,F,HPP,term,2,ADS,ADS1,1,4.291,noerror,noerror,NA,German,babylab-potsdam,21
b7033,babylab-potsdam:b7033,239,F,HPP,term,2,IDS,IDS1,2,3.899,noerror,noerror,NA,German,babylab-potsdam,21
