Lab,Method,Subject,Subject_Unique,Language,Condition,Age,Session,total_trial_n,N_below_threshold_lt,mean_log_lt,mean_lt,ConditionC,language_recoded,Native
wsi-goettingen,central fixation,M230,wsi-goettingen:M230,German,IDS,207,2,16,0,2.2066567082526416,10.3775,0.5,German,FALSE
wsi-goettingen,central fixation,M231,wsi-goettingen:M231,German,ADS,235,1,16,0,2.3268128380539563,11.28,-0.5,German,FALSE
wsi-goettingen,central fixation,M231,wsi-goettingen:M231,German,IDS,235,1,16,0,2.1405678647337205,10.133750000000001,0.5,German,FALSE
wsi-goettingen,central fixation,M312,wsi-goettingen:M312,German,ADS,303,1,16,0,2.086045551926844,9.42,-0.5,German,FALSE
wsi-goettingen,central fixation,M312,wsi-goettingen:M312,German,IDS,303,1,16,0,2.0002339930879978,8.31375,0.5,German,FALSE
wsi-goettingen,central fixation,M316,wsi-goettingen:M316,German,ADS,289,2,16,0,2.147034377207347,9.67,-0.5,German,FALSE
wsi-goettingen,central fixation,M316,wsi-goettingen:M316,German,IDS,289,2,16,0,1.9178051806726522,9.00375,0.5,German,FALSE
wsi-goettingen,central fixation,M317,wsi-goettingen:M317,German,ADS,360,2,16,0,2.0231299268295118,8.602500000000001,-0.5,German,FALSE
wsi-goettingen,central fixation,M317,wsi-goettingen:M317,German,IDS,360,2,16,0,2.183926941454209,10.13,0.5,German,FALSE
wsi-goettingen,central fixation,M321,wsi-goettingen:M321,German,ADS,333,1,16,0,1.7267377419904277,6.62875,-0.5,German,FALSE
wsi-goettingen,central fixation,M321,wsi-goettingen:M321,German,IDS,333,1,16,0,2.1573631698822506,10.1275,0.5,German,FALSE
wsi-goettingen,central fixation,M322,wsi-goettingen:M322,German,ADS,305,1,16,0,2.08983867166242,9.8375,-0.5,German,FALSE
wsi-goettingen,central fixation,M322,wsi-goettingen:M322,German,IDS,305,1,16,0,1.988572492784233,9.4375,0.5,German,FALSE
wsi-goettingen,central fixation,M326,wsi-goettingen:M326,German,ADS,282,1,16,0,1.4941478890998636,4.54875,-0.5,German,FALSE
wsi-goettingen,central fixation,M326,wsi-goettingen:M326,German,IDS,282,1,16,0,1.457684874713517,4.465,0.5,German,FALSE
wsi-goettingen,central fixation,M327,wsi-goettingen:M327,German,ADS,290,2,16,0,2.6139723931900916,14.2225,-0.5,German,FALSE
wsi-goettingen,central fixation,M327,wsi-goettingen:M327,German,IDS,290,2,16,0,2.4006967283177287,12.6325,0.5,German,FALSE
wsi-goettingen,central fixation,M328,wsi-goettingen:M328,German,ADS,275,1,16,0,1.8782085160794089,8.3375,-0.5,German,FALSE
wsi-goettingen,central fixation,M328,wsi-goettingen:M328,German,IDS,275,1,16,0,2.1315247520847627,10.305,0.5,German,FALSE
wsi-goettingen,central fixation,M329,wsi-goettingen:M329,German,ADS,339,1,16,0,1.940749997594496,7.875,-0.5,German,FALSE
wsi-goettingen,central fixation,M329,wsi-goettingen:M329,German,ADS,345,2,16,0,1.3170032812127945,3.93625,-0.5,German,FALSE
wsi-goettingen,central fixation,M329,wsi-goettingen:M329,German,IDS,339,1,16,0,2.3811952371838307,11.855,0.5,German,FALSE
wsi-goettingen,central fixation,M329,wsi-goettingen:M329,German,IDS,345,2,16,0,1.4696091533144031,5.28375,0.5,German,FALSE
wsi-goettingen,central fixation,M331,wsi-goettingen:M331,German,ADS,283,1,16,0,1.9851308436758253,7.81875,-0.5,German,FALSE
wsi-goettingen,central fixation,M331,wsi-goettingen:M331,German,ADS,289,2,16,0,1.8075050268467694,6.8862499999999995,-0.5,German,FALSE
wsi-goettingen,central fixation,M331,wsi-goettingen:M331,German,IDS,283,1,16,0,2.108151491555613,9.62,0.5,German,FALSE
wsi-goettingen,central fixation,M331,wsi-goettingen:M331,German,IDS,289,2,16,0,1.3825895527241467,4.45375,0.5,German,FALSE
wsi-goettingen,central fixation,M336,wsi-goettingen:M336,German,ADS,285,1,16,0,2.173160443041468,9.3275,-0.5,German,FALSE
wsi-goettingen,central fixation,M336,wsi-goettingen:M336,German,IDS,285,1,16,0,2.1947328436934175,10.13125,0.5,German,FALSE
wsi-goettingen,central fixation,M337,wsi-goettingen:M337,German,ADS,274,1,16,0,2.0589087531870005,8.9575,-0.5,German,FALSE
wsi-goettingen,central fixation,M337,wsi-goettingen:M337,German,IDS,274,1,16,0,2.0514538338230768,9.41125,0.5,German,FALSE
wsi-goettingen,central fixation,M338,wsi-goettingen:M338,German,ADS,328,2,16,0,1.9270723645622057,9.29875,-0.5,German,FALSE
wsi-goettingen,central fixation,M338,wsi-goettingen:M338,German,IDS,328,2,16,0,1.992009537893851,9.10625,0.5,German,FALSE
