Lab,Method,Subject,Subject_Unique,Language,language_recoded,Native,Age_session_1,Age_session_2,total_trial_n_session_1,total_trial_n_session_2,IDS_session_1,IDS_session_2,ADS_session_1,ADS_session_2,Diff_1,Diff_2,Prop_session_1,Prop_session_2,binary_pref_session_1,binary_pref_session_2,mean_log_lt_IDS_session_1,mean_log_lt_IDS_session_2,mean_log_lt_ADS_session_1,mean_log_lt_ADS_session_2,Diff_log_lt_session_1,Diff_log_lt_session_2,Prop_log_lt_session_1,Prop_log_lt_session_2,days_between_sessions,Age
babylab-potsdam,HPP,b7027,babylab-potsdam:b7027,German,German,FALSE,251,260,14,13,7.712285714285715,9.311285714285715,8.882714285714286,6.345,-1.1704285714285714,2.966285714285715,0.4647355055309259,0.5947314634012811,ADS_preference,IDS_preference,1.7694492305930332,2.127938677211023,2.0301167299780323,1.6029670062444594,-0.2606674993849991,0.5249716709665637,0.4656977267811635,0.5703544548572381,9,255.5
babylab-potsdam,HPP,b7030,babylab-potsdam:b7030,German,German,FALSE,200,207,14,10,5.3345,8.4708,9.077666666666667,5.933,-3.743166666666667,2.5378000000000007,0.37013865599666945,0.5880948083144726,ADS_preference,IDS_preference,1.518575259978099,2.0109300847551994,2.121595890610152,1.594359969436332,-0.6030206306320529,0.41657011531886745,0.4171713903431979,0.5577720667487711,7,203.5
babylab-potsdam,HPP,b7033,babylab-potsdam:b7033,German,German,FALSE,218,239,16,16,8.775125,3.552625,6.153625,3.593875,2.6214999999999993,-0.04125000000000023,0.5878003851628569,0.4971139718743441,IDS_preference,ADS_preference,2.1442669477395024,1.2405228629476872,1.7261817691748778,1.2488995113807673,0.4180851785646247,-0.008376648433080058,0.5540099106258063,0.4983175517904349,21,228.5
babylab-potsdam,HPP,b7059,babylab-potsdam:b7059,German,German,FALSE,221,228,10,5,7.01625,2.92,4.433833333333333,3.7196666666666665,2.582416666666667,-0.7996666666666665,0.6127684660228092,0.4397811135097143,IDS_preference,ADS_preference,1.7997993651585729,1.0556584773110143,1.472371664013994,1.2299165451654246,0.32742770114457875,-0.17425806785441034,0.5500321801986273,0.4618787250165167,7,224.5
babylab-potsdam,HPP,b7096,babylab-potsdam:b7096,German,German,FALSE,216,223,15,14,7.8895,5.442142857142857,4.984714285714285,6.647571428571428,2.9047857142857145,-1.2054285714285715,0.6128140968380873,0.45014652360920737,IDS_preference,ADS_preference,1.858101431531208,1.4807631603942195,1.5319373406049281,1.686149878440336,0.32616409092627996,-0.2053867180461164,0.5481062478705453,0.46757304107698205,7,219.5
babylab-potsdam,HPP,b7105,babylab-potsdam:b7105,German,German,FALSE,197,204,16,14,10.837375,5.659,11.067875,7.6852857142857145,-0.23050000000000104,-2.0262857142857147,0.4947387041919174,0.42407665132212824,ADS_preference,ADS_preference,2.2362103963616518,1.6152072406787312,2.298322770212539,1.8021121974716847,-0.06211237385088708,-0.1869049567929535,0.49315118320131146,0.4726532798329626,7,200.5
babylab-potsdam,HPP,b7135,babylab-potsdam:b7135,German,German,FALSE,257,266,16,15,11.575000000000001,4.531750000000001,9.616125,5.801857142857143,1.9588750000000008,-1.2701071428571424,0.5462192309280419,0.4385448311853488,IDS_preference,ADS_preference,2.3254487385336966,1.3900365494615197,2.1548532262393443,1.5882686722177908,0.17059551229435233,-0.1982321227562711,0.5190383944693552,0.46672065016820236,9,261.5
babylab-potsdam,HPP,b7139,babylab-potsdam:b7139,German,German,FALSE,206,213,16,13,9.99,9.621142857142857,12.024625,5.095,-2.034625,4.526142857142857,0.453789242378646,0.653781561550484,ADS_preference,IDS_preference,2.191627391255139,2.157162642530067,2.430194516536,1.4949558483169443,-0.238567125280861,0.6622067942131227,0.47419122479830933,0.5906606392800171,7,209.5
babylab-potsdam,HPP,b7140,babylab-potsdam:b7140,German,German,FALSE,191,196,15,14,10.956,6.942,9.610142857142858,4.499333333333333,1.3458571428571418,2.4426666666666668,0.5327202128324638,0.6067474653303812,IDS_preference,IDS_preference,2.2315652152576946,1.6950268087435956,2.1360003945994923,1.3475018670002692,0.09556482065820227,0.3475249417433264,0.5109402844965307,0.55711120235512,5,193.5
babylab-potsdam,HPP,b7145,babylab-potsdam:b7145,German,German,FALSE,254,263,16,16,8.510125,7.628375,6.802375,5.814,1.7077500000000008,1.814375,0.5557632653061225,0.5674871441988488,IDS_preference,IDS_preference,2.0127821466813716,1.9207205305724238,1.7513862618981448,1.704180706213363,0.26139588478322673,0.21653982435906083,0.5347215980277925,0.5298683757451923,9,258.5
babylab-potsdam,HPP,b7146,babylab-potsdam:b7146,German,German,FALSE,220,230,16,16,9.394125,7.024125,7.28475,9.00925,2.109375000000001,-1.985125,0.5632349304134722,0.4380939758472561,IDS_preference,ADS_preference,2.01410914953806,1.8062778608393986,1.835091571871141,1.901748532229191,0.17901757766691917,-0.09547067138979237,0.5232538636750256,0.4871264843788254,10,225
babylab-potsdam,HPP,b7147,babylab-potsdam:b7147,German,German,FALSE,210,217,16,16,7.93075,8.92025,7.555499999999999,8.4225,0.3752500000000003,0.4977499999999999,0.5121155864072968,0.5143503769586715,IDS_preference,IDS_preference,1.9267695522482422,1.9372328309726161,1.9003445141600972,1.8826883280743498,0.026425038088145003,0.05454450289826629,0.5034523452436505,0.5071394801917685,7,213.5
