"";"Subject";"Age";"Gender";"Method";"preterm";"Session";"Condition";"trial_num";"LT";"trial_error";"session_error";"Language";"Lab"
"48";"P02";"204";"F";"Eyetracking";"term";"1";"ADS";10;0;"noerror";"noerror";"English";"lancslab"
"49";"P02";"204";"F";"Eyetracking";"term";"1";"IDS";11;0;"noerror";"noerror";"English";"lancslab"
"50";"P02";"204";"F";"Eyetracking";"term";"1";"ADS";12;0,646;"noerror";"noerror";"English";"lancslab"
"51";"P02";"204";"F";"Eyetracking";"term";"1";"ADS";13;3,791;"noerror";"noerror";"English";"lancslab"
"52";"P02";"204";"F";"Eyetracking";"term";"1";"IDS";14;10,795;"noerror";"noerror";"English";"lancslab"
"53";"P02";"204";"F";"Eyetracking";"term";"1";"IDS";15;1,479;"noerror";"noerror";"English";"lancslab"
"54";"P02";"204";"F";"Eyetracking";"term";"1";"ADS";16;0,663;"noerror";"noerror";"English";"lancslab"
"55";"P02";"211";"F";"Eyetracking";"term";"2";"training";-2;14,994;"noerror";"noerror";"English";"lancslab"
"56";"P02";"211";"F";"Eyetracking";"term";"2";"training";-1;6,783;"noerror";"noerror";"English";"lancslab"
"57";"P02";"211";"F";"Eyetracking";"term";"2";"ADS";1;16,269;"noerror";"noerror";"English";"lancslab"
"58";"P02";"211";"F";"Eyetracking";"term";"2";"IDS";2;14,807;"noerror";"noerror";"English";"lancslab"
"59";"P02";"211";"F";"Eyetracking";"term";"2";"ADS";3;15,691;"noerror";"noerror";"English";"lancslab"
"60";"P02";"211";"F";"Eyetracking";"term";"2";"IDS";4;14,161;"noerror";"noerror";"English";"lancslab"
"61";"P02";"211";"F";"Eyetracking";"term";"2";"IDS";5;13,073;"noerror";"noerror";"English";"lancslab"
"62";"P02";"211";"F";"Eyetracking";"term";"2";"ADS";6;5,304;"noerror";"noerror";"English";"lancslab"
"63";"P02";"211";"F";"Eyetracking";"term";"2";"ADS";7;0;"noerror";"noerror";"English";"lancslab"
"64";"P02";"211";"F";"Eyetracking";"term";"2";"IDS";8;7,633;"noerror";"noerror";"English";"lancslab"
"65";"P02";"211";"F";"Eyetracking";"term";"2";"IDS";9;8,959;"noerror";"noerror";"English";"lancslab"
"66";"P02";"211";"F";"Eyetracking";"term";"2";"ADS";10;8,211;"noerror";"noerror";"English";"lancslab"
"67";"P02";"211";"F";"Eyetracking";"term";"2";"IDS";11;7,667;"noerror";"noerror";"English";"lancslab"
"68";"P02";"211";"F";"Eyetracking";"term";"2";"ADS";12;6,409;"noerror";"noerror";"English";"lancslab"
"69";"P02";"211";"F";"Eyetracking";"term";"2";"ADS";13;3,451;"noerror";"noerror";"English";"lancslab"
