lab,subid,test,trial_type,stimulus,trial_num,looking_time,total_trial_time,trial_error,trial_error_type,notes
babylab-potsdam,b7030,2,ADS,ADS3,7,2.598,3.791,noerror,NA,NA
babylab-potsdam,b7030,2,IDS,IDS3,8,1.79,3.305,noerror,NA,offline correction - experimenter error - subtraction of 462 ms based on logsheet and video- child was looking away
babylab-potsdam,b7030,2,ADS,ADS2,9,1.807,1.807,noerror,NA,NA
babylab-potsdam,b7030,2,IDS,IDS2,10,1.637,1.637,noerror,NA,NA
babylab-potsdam,b7030,2,IDS,IDS4,11,9.667,11.815,noerror,NA,NA
babylab-potsdam,b7030,2,ADS,ADS4,12,3.161,4.891,noerror,NA,offline correction - experimenter error - subtraction of 267 and 467 ms based on logsheet and video- child was looking away
babylab-potsdam,b7030,2,IDS,IDS6,13,4.969,4.969,noerror,NA,NA
babylab-potsdam,b7030,2,ADS,ADS6,14,1.451,1.451,noerror,NA,NA
babylab-potsdam,b7030,2,IDS,IDS8,15,1.393,1.393,noerror,NA,NA
babylab-potsdam,b7030,2,ADS,ADS8,16,1.431,1.431,noerror,NA,NA
babylab-potsdam,b7033,1,training,train2,-2,10.56,13.464,noerror,NA,offline correction - experimenter error - subtraction of 2061 ms based on logsheet and video- child was not looking at the beginning of the trial
babylab-potsdam,b7033,1,training,train1,-1,15.819,18,noerror,NA,NA
babylab-potsdam,b7033,1,ADS,ADS1,1,14.371,17.094,noerror,NA,NA
babylab-potsdam,b7033,1,IDS,IDS1,2,13.835,17.885,noerror,NA,NA
babylab-potsdam,b7033,1,ADS,ADS2,3,6.163,7.133,noerror,NA,NA
babylab-potsdam,b7033,1,IDS,IDS2,4,6.851,6.851,noerror,NA,NA
babylab-potsdam,b7033,1,IDS,IDS3,5,9.118,9.787,noerror,NA,NA
babylab-potsdam,b7033,1,ADS,ADS3,6,3.765,3.765,noerror,NA,NA
babylab-potsdam,b7033,1,ADS,ADS4,7,5.231,5.231,noerror,NA,NA
babylab-potsdam,b7033,1,IDS,IDS4,8,10.349,15.122,noerror,NA,offline correction - experimenter error - subtraction of 2101 ms based on logsheet and video- child was not looking at the beginning of the trial
babylab-potsdam,b7033,1,IDS,IDS5,9,7.259,8.554,noerror,NA,NA
